day,hour,precinct,criminal,traffic
0,14,104,97,78
0,14,33,60,838
0,14,62,102,10
0,14,22,12,36809
0,15,44,206,89
0,15,103,181,287
0,15,28,132,2454
0,15,105,147,35
0,15,13,146,93056
0,15,71,106,134
0,15,7,84,3898
0,15,46,165,28
0,15,48,143,14
0,15,19,126,141300
0,15,41,128,11
0,15,14,247,141426
0,15,67,161,19
0,15,17,43,185365
0,15,61,106,35
0,15,102,102,345
0,15,110,140,311
0,15,108,77,3976
0,15,75,312,33
0,15,73,178,31
0,15,60,125,18
0,15,68,103,56
0,15,79,124,125
0,15,23,99,18685
0,15,42,150,11
0,15,115,104,43345
0,15,52,177,35
0,15,122,108,2
0,15,1,162,65849
0,15,72,72,66
0,15,109,144,158
0,15,24,89,37187
0,15,81,101,72
0,15,90,99,1274
0,15,112,96,288
0,15,43,233,27
0,15,84,130,3828
0,15,47,200,7
0,15,77,114,135
0,15,101,68,8
0,15,83,115,72
0,15,113,158,36917
0,15,120,152,247
0,15,70,158,114
0,15,69,79,15
0,15,66,81,84
0,15,114,136,2507
0,15,76,45,637
0,15,63,92,26
0,15,45,120,18
0,15,106,93,93
0,15,10,61,53100
0,15,78,90,1013
0,15,6,62,63545
0,15,5,149,35224
0,15,94,48,1552
0,15,40,243,287
0,15,34,83,118
0,15,32,134,562
0,15,50,84,23
0,15,25,100,2568
0,15,18,163,107030
0,15,20,88,63069
0,15,111,57,49
0,15,107,92,195
0,15,30,78,885
0,15,49,122,8
0,15,88,57,543
0,15,26,56,6154
0,15,123,53,3
0,15,9,60,27540
0,15,104,92,93
0,15,33,64,672
0,15,62,103,3
0,15,22,10,43670
0,15,100,10,1000
0,16,44,226,91
0,16,103,176,326
0,16,28,96,2259
0,16,105,132,60
0,16,13,125,82828
0,16,71,128,105
0,16,7,60,3699
0,16,46,178,33
0,16,48,142,7
0,16,19,121,120494
0,16,41,110,26
0,16,14,213,120344
0,16,67,191,39
0,16,17,53,161063
0,16,61,70,62
0,16,102,103,327
0,16,110,142,287
0,16,108,70,3904
0,16,75,259,32
0,16,73,192,17
0,16,60,107,22
0,16,68,81,89
0,16,79,113,84
0,16,23,106,16024
0,16,42,122,13
0,16,115,100,44550
0,16,52,172,25
0,16,122,82,9
0,16,1,106,54569
0,16,72,86,42
0,16,109,120,171
0,16,24,87,32300
0,16,81,95,54
0,16,90,105,1074
0,16,112,74,212
0,16,43,199,40
0,16,84,139,3249
0,16,47,128,13
0,16,77,121,104
0,16,101,67,4
0,16,83,111,31
0,16,113,149,36780
0,16,120,133,180
0,16,70,129,170
0,16,69,89,34
0,16,66,75,118
0,16,114,137,2101
0,16,76,46,552
0,16,63,89,27
0,16,45,114,22
0,16,106,91,103
0,16,10,48,45748
0,16,78,81,924
0,16,6,69,56046
0,16,5,79,31762
0,16,94,72,1607
0,16,40,221,348
0,16,34,76,119
0,16,32,109,549
0,16,50,79,25
0,16,25,133,2304
0,16,100,53,8
0,16,18,170,97077
0,16,20,67,56743
0,16,111,38,20
0,16,107,65,44
0,16,30,73,720
0,16,49,102,6
0,16,88,72,399
0,16,26,56,5787
0,16,123,51,3
0,16,9,94,24769
0,16,104,115,88
0,16,33,74,479
0,16,62,106,61
0,16,22,8,37656
0,17,44,181,122
0,17,103,176,211
0,17,28,112,3792
0,17,105,134,21
0,17,13,117,104808
0,17,71,126,97
0,17,7,68,4411
0,17,46,155,27
0,17,48,137,11
0,17,19,130,143577
0,17,41,122,20
0,17,14,229,136000
0,17,67,167,25
0,17,17,46,213072
0,17,61,98,22
0,17,102,89,272
0,17,110,128,336
0,17,108,78,4655
0,17,75,288,32
0,17,73,174,41
0,17,60,110,3
0,17,68,120,50
0,17,79,133,116
0,17,23,117,20775
0,17,42,132,16
0,17,115,122,44120
0,17,52,200,33
0,17,122,89,7
0,17,1,131,68456
0,17,72,65,75
0,17,109,126,118
