,day,hour,precinct,sum
8197,4,10,112,50
8198,4,10,43,142
8199,4,10,84,87
8200,4,10,47,89
8201,4,10,77,96
8202,4,10,101,47
8203,4,10,83,90
8204,4,10,113,88
8205,4,10,120,93
8206,4,10,70,92
8207,4,10,69,65
8208,4,10,66,53
8209,4,10,114,121
8210,4,10,76,32
8211,4,10,63,50
8212,4,10,45,84
8213,4,10,106,49
8214,4,10,10,48
8215,4,10,78,54
8216,4,10,6,51
8217,4,10,5,57
8218,4,10,94,40
8219,4,10,40,155
8220,4,10,34,52
8221,4,10,32,58
8222,4,10,50,48
8223,4,10,25,121
8224,4,10,100,52
8225,4,10,18,120
8226,4,10,20,62
8227,4,10,111,39
8228,4,10,107,63
8229,4,10,30,68
8230,4,10,49,93
8231,4,10,88,49
8232,4,10,26,37
8233,4,10,123,38
8234,4,10,9,55
8235,4,10,104,80
8236,4,10,33,83
8237,4,10,62,76
8238,4,10,22,2
8239,4,11,44,148
8240,4,11,103,140
8241,4,11,28,88
8242,4,11,105,100
8243,4,11,13,84
8244,4,11,71,99
8245,4,11,7,53
8246,4,11,46,114
8247,4,11,48,113
8248,4,11,19,96
8249,4,11,41,101
8250,4,11,14,150
8251,4,11,67,109
8252,4,11,17,45
8253,4,11,61,66
8254,4,11,102,56
8255,4,11,110,70
8256,4,11,108,49
8257,4,11,75,196
8258,4,11,73,116
8259,4,11,60,70
8260,4,11,68,60
8261,4,11,79,91
8262,4,11,121,90
8263,4,11,23,78
8264,4,11,42,79
8265,4,11,115,71
8266,4,11,52,108
8267,4,11,122,90
8268,4,11,1,105
8269,4,11,72,59
8270,4,11,109,105
8271,4,11,24,53
8272,4,11,81,79
8273,4,11,90,87
8274,4,11,112,47
8275,4,11,43,141
8276,4,11,84,115
8277,4,11,47,96
8278,4,11,77,94
8279,4,11,101,51
8280,4,11,83,90
8281,4,11,113,87
8282,4,11,120,91
8283,4,11,70,81
8284,4,11,69,60
8285,4,11,66,42
8286,4,11,114,143
8287,4,11,76,35
8288,4,11,63,58
8289,4,11,45,79
8290,4,11,106,70
8291,4,11,10,51
8292,4,11,78,56
8293,4,11,6,57
8294,4,11,5,55
8295,4,11,94,50
8296,4,11,40,165
8297,4,11,34,54
